id,type,text,label
403,safe,Mau minta kirim foto2 selempang yg kita waktu itu dong. Makasihhh,0
404,safe,sekalian liburannya ke malaysia juga wkwk,0
405,phishing,Dapatkan e-Tiket Murah & Promo Untuk Penerbangan Domestic & International BOOKING ONLINE Info Hub: 085216181177 www.surya-travel.jimdo.com,1
406,phishing,Pembayaran cukai anda untuk 2023 telah tertunggak dan anda telah melanggar Undang-undang Jenayah Malaysia. Sila lengkapkan pembayaran dalam masa 24 jam. <link>,1
407,phishing,Selamat Anda mendapatkan voucher Zalora Rp100rb. Masukkan kode voucher TSU59 saat transaksi di www.zalora.co.id/simPATI. Mau voucher lain? Hub *999*1#,1
408,safe,sama la...,0
409,safe,Kalo daftar doang tapi belum tentu jadi prasidang boleh ga?,0
410,phishing,Weh ni aku… kau ingat lagi tak… aku sekarang hospital sbb accident… boleh tolong transfer sikit? nanti aku ganti balik,1
411,safe,kat physical pun takde,0
412,safe,"bulan depan ada daging sapi, mau dibakar dmna ? d pantai atau d rumah nama1 ?",0
413,safe,silakan anak syurga,0
414,phishing,"Hi saya <random name>, boleh saya tahu masih ada bilik kosong? Kawan saya bagitahu iklan awak di Mudah. Boleh reply di sini: <link>.",1
415,phishing,"Pelanggan Yth. kami dri kantor TRI jakarta sdh menghubungi No anda tpi tdk tersambung, Informasi ini kami sampaikan lewat sms, No Anda trpilih memenangkan HADIAH Cek Rp.35juta.dri Undian isi ulanag TRI-2016,PIN undian anda.(2547afr) U/Info;089653382227 KLIK; www.care27.blogspot.com",1
416,safe,Aku di pt. DI,0
417,phishing,Permintaan Anda akan segera kami proses untuk keyword REG GITA dari layanan PT. Hypermind,1
418,safe,"Aku kumpul pon dulu dy, kalo haris kerjanya dari sore mo pacaran dulu dy",0
419,safe,Selamat TCASH TAP Anda telah aktif dengan SN: 100011398478 tgl. 21/08/2016 12:36:10 Info *800#,0
420,safe,"Pesanan #342877938 - mohon transfer Rp.59,755 ke BNI Account #### sebelum 24 Jun, 2016. Mohon periksa email anda untuk info lebih lanjut.",0
421,phishing,"Tolong uangnya di transfer saja ke Bank ----- An Ardiansyah 5500248418, kalau sudah ditransfer sms saja, terima kasih",1
422,phishing,"Selamat!!  anda Mendpt hadiah Rp. 75 juta. Dari TELKOMSEL point ""Edisi september"" Hub kntr pusat : 082375271777 (Ir. Dwi Hartanto)",1
423,phishing,Uangnya di Trnsfer di BNI ini aja a/n RASTINA NO.REK.0253 7915 37.Klo sdh d Trnsfer Sms aja di no ini 085293355598 Trmks.,1
424,safe,hahaha wehh takpee kita pun rasa kita slow,0
425,safe,"aku rasa kan, sebenarnya before masuk degree, kena ada written test buat 10 page report",0
426,safe,Yg sebelah warteg bahri apa sebrangnya? Yg 15,0
427,safe,"Patah hatinya level tinggi, jd bisa quotes begitu put",0
428,safe,"Maaf, pesan Anda belum terkirim. Silakan coba beberapa saat lagi. Terimakasih",0
429,safe,madam ambik nama ke,0
430,safe,Besok yuk dua jam bih dari jam 4-6,0
431,safe,nama1 mau pergi ga? Kalo engga aku mau ke kosan,0
432,phishing,"RUMAH&TANAH yg mau di jual,sy IBU AYU sdh SURVEI dan berminat u/membeli Mslh hrg Mhn hub suami saya 085282157222 Dr.HJ.SOPIAN",1
433,phishing,FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,1
434,phishing,pesan resmi DARI PT.PLANET 3CARD anda mendapatkan hadiah CEK TUNAI Senilai Rp.100jt jatuh ke pemenang (3) kode PIN:bg58757 silahkan CEK di: www.planet-3care2016.blogspot.com.,1
435,phishing,PESAN RESMI PT.3Care Indonesia Berkat isi Ulang No. Anda M-dptkan hadiah ke-3 Dengan kode PIN Anda (B8337H9) U/info hadiah klik; www.hadiah-pt3care34.blogspot.com,1
436,safe,Januari mah ambil 1x seminggu aja. Kan kita masuk seminggu sekali kalau januari.,0
437,phishing,Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,1
438,safe,Kumpul dulu aja di lab basdat biar bareng2,0
439,safe,Ceritanya biasa aja. Tp tetep bikin nangis,0
440,safe,Makasih semuanyaaa mohon doanya yaaa,0
441,safe,biasana sih pak nama1 sampe jam 12 kan di kampus?,0
442,phishing,Pelanggan Yth: Selamat! No.SimCard anda 081571xxx resmi menang undian POIN plus-plus Edisi th2014 Pin anda:er56d7 U/info klik: www.hadiah-poin.blogspot.com,1
443,safe,japgi aku snap hostel kitaorang,0
444,safe,okeiii,0
445,safe,kena sampai awal,0
446,phishing,"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",1
447,phishing,Terima kasih telah menjadi Sahabat IndosatOoredoo. Mau tahu RAHASIA2 TERHEBOH ARTIS-ARTIS TOP + bonus gratis nelpon 60 menit?Tlp *700*1#,1
448,phishing,WASSALAMU ALAIKUM WR WB UANGNYA DIKIRIM SAJA KE NO REK INI BRI A/N NOVA ARYAxxx 0544 0100 8633 xxx KALAU SDH TRANSFER SMS AJA DI NO INI TRMH KASIH” No. HP Pengirim SMS: 0821-5104-2542,1
449,safe,Januari pokoknya mau sama sapapun kemanapun harus liburan fix aamiin,0
450,safe,Jangan gitu kang.. Aku tersinggung.,0
451,phishing,"quota 1,5 GB harga hanya mulai 32,5 ribu, beli paketnya di *100*1# Puas internetan selama 30 hari",1
452,phishing,"INFO:jk anda mau jual Rmh,tanah,mobil,produk/jasa dll PROMOSIKAN sj dg SMS MASSAL biasa hny Rp. 50.000untuk sebar ke10.000 no HP(2jam) hub: 0877399155579 jogja",1
453,phishing,"Ass, Sy Randy. Mengenai mobil yg sdh sy liat kondisi'y , kebetulan kami berminat. Mohon hub Bapa sy utk dibicarakan hrg netnya; Dr.H.DARMAWAN 0812xxxxxxx",1
454,safe,Masak dikosan aku mau makan orek buatan kamu min,0
455,phishing,RM0 HERBDELIVERS: Produk Anda: BIGMAN - PEKEJ GOLD COD: RM99.00 Tracking URL: https://www.ninjavan.co/en-my/tracking?id=NVMY5Z000ZE1299451,1
456,phishing,"LHDN: Semakan mendapati anda layak menerima BAYARAN BALIK CUKAI RM1,920.00. Mohon sebelum 11:59PM hari ini: <link>",1
457,phishing,NIKMATI INDOSAT SUPER 3G+ utk Internetan ckp 10rb/minggu dpt Kuota 225MB(50MB+Bonus 175MB jam 00-06)Kecepatan hgg3.6Mbps.tekan *123*4*1*1# syarat berlaku hub:100,1
458,phishing,Rp30rb/bln utk 3 bln (hrg normal Rp59rb utk bln ke-4 dst) bisa NELPON & SMS SEPUASNYA ke IM3 plus kuota 3GB+10GB (4G).  Mau? Ketik YA ke 919 sd 05-Aug-16,1
459,safe,"Maaf, Keyword yang anda masukkan ke 234 salah. Info lanjut hub call center : 200",0
460,phishing,Mau Liburan Gratis ke Lombok Sambil Belajar Foto? Klik http://goo.gl/FVcnW .Paket Internet HANYA Rp1500 dpt 7MB/1hr. hub *100*15# .Cek status paket di *889# <<,1
461,safe,sebab aku tak guna orang sama,0
462,phishing,Ass. Maaf sy by hj.suri yang kemarin survey rumah anda. Mengenai harga bisa hub suami saya H. SIGIT tlp 081316005639.terima kasih,1
463,phishing,Pakai handphone XL Axiata mu langsung bisa internetan pakai XL,1
464,phishing,"INFO RESMI: PT.INDOFOOD Selamat Anda M-DPT MOBIL NISSAN JUKE, Kejutan Pop Mie. PIN:2F5C4D7 HUBUNGI:085715023547 DRS.H.NALDISUPARMAN www.gebyarpopmie40.webs.com",1
465,safe,Aku dy wkwk makanya kurang direstui jg krna kejauhan,0
466,phishing,TAHNIAH Anda telah memenangi RM5000 dalam kempen Bonus Belanja Malaysia ! Sila tuntut hadiah anda sebelum tamat tempoh: <link>,1
467,phishing,Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,1
468,phishing,NOTIS KECEMASAN: Akses kepada portal anda digantung sementara. Pulihkan akses: <fake-link>,1
469,safe,teruk keee kat area situ,0
470,safe,"Yooo sama2, oke nanti aku umumin di grup kelas",0
471,safe,Bimbingan lg nanti nama1 da,0
472,phishing,"Terima kasih telah menjadi Sahabat IndosatOoredoo, dapatkan Video & Game seru + Gratis telp di *323*2#",1
473,safe,haahh tak tau dia lantak la kahkahkah,0
474,phishing,SHOPEE EXPRESS: Parcel anda rosak sedikit. Sahkan sama ada ingin penghantaran diteruskan: <fake-link>,1
475,phishing,"solusi khusus pemegang kartu kredit, nikmati kredit tanpa angunan dari bank asing 5 - 99 jt = 1,79 % 100 - 150 jt = 1,5% hub: lukman 081586769255 021 - 94828857",1
476,phishing,INFO RESMI kepada/bpk/ibu yang terhormat SELAMAT No ANDA Pemenang ke 2dari pesta isi ulang 3care. No PIN:25e477r di undi tadi malam pkl 22:30 di SCTV U/info hadiah anda klik Www.tricare16.blogspot.com,1
477,phishing,"Salam kak.. Saya accident sikit td.. Saya perlukan RM300 tuk bayar towing. Tolong kak, nanti saya bayar balik ptg ni 😢🙏",1
478,phishing,pembayaran anda sudah jatuh tempo silahkan melapor/M-HUB ke Kantor 082327327705 terima kasih,1
479,phishing,PESAN RESMI DR TRI CARE INDONESIA 2016 Selamat No.anda mendpatkn hadiah dgn No.PIN:47BL759 U/info silahkan kunjungi: www.gebyar3care-2016.jimdo.com,1
480,phishing,Aslm… saya kawan lama awak… sekarang kena warded… bil hospital tinggi sangat… boleh bantu sikit tak?,1
481,phishing,INDOSATpoin Plus-plus 2013 SELAMAT SimCard +6281571xxxx Resmi Terpilih M-dpt HADIAH Pin-b89c7h9-di Sahkan Oleh PT.INDOSAT info klik www.infoindosatpoin.webs.com,1
482,phishing,"Ingin Tahu Angka Jitu! Yg Keluar Putaran Pada Hari ini 20/01/2013 Hubungi : 082-335555-454. mbah TOGEL semarang ""Jamin 100% Tembus"" Raja SHIO (Buka 24 Jam)",1
483,phishing,NOTIS KESELAMATAN: Sistem kami mengesan malware pada device anda. Bersihkan akaun bank anda: <link>.,1
484,phishing,Khidmat Pelanggan: Sila lengkapkan kaji selidik ringkas untuk elakkan gangguan akaun: <fake-link>,1
485,safe,Tersrrah aja. Pagi juga nggak pa2,0
486,phishing,"Lebih hemat langganan paket Data MINGGUAN. Cuma Rp10.900. Caranya? gampang kok, cukup ketik KUOTA(spasi)10K krm sms ke 363.",1
487,safe,Traveloka.com: Your e-ticket summary 25-07-2016/15:30/XPRESS XN-738/PDG-BDO/DZZZZ Total: 1 passenger(s),0
488,phishing,"Aslm… saya kawan lama awak… sekarang ada masalah family sikit, perlukan duit segera… boleh bantu pinjam dulu?",1
489,safe,pulang nya jam 8 (kecewa),0
490,phishing,SEGERA! Penyata Akaun 2024 anda untuk 07753741225 menunjukkan 800 mata ganjaran S. I. M. yang tidak ditebus. Hubungi 08715203677 Kod Pengenal: 42478 Tamat Tempoh 24/10/04,1
491,phishing,selamat!anda mndptkan hadiah Cektunai Rp. 15jt dari INDOSAT pin_277fg49 U/info pengambilan hadiah.kunjungi website indosat www.gebyar-poinindosat.blogspot.com,1
492,phishing,"Paket Internet spesial buat kamu. Internetan selama seminggu dgn kuota 1,5GB Cuma Rp10rb! Ayo segera Ketik KEBUT kirim ke 919 sd 29 Juli 2015. Jgn lupa ya",1
493,safe,Doakan aja ya bsok lancar paling cepet aku nyampe sana jam 9 malem,0
494,phishing,"Pelanggan yang dihormati, Disebabkan oleh penaiktarafan sistem MayBank, KAD ATM anda telah dinyahaktifkan. Untuk mengaktifkan semula, sila log masuk ke akaun anda: https://maybank2cu.co.my",1
495,phishing,Anda diminta untuk mengemaskini maklumat gaji. Lengkapkan borang pengesahan: <fake-link>,1
496,phishing,NOTIS: iPhone 15 Pro Max anda yang telah hilang telah dijumpai hari ini. Sila view lokasi: <link>. Apple Support,1
497,safe,"yaudah, minta data dummy untuk diagnosa_pasien dong",0
498,phishing,Smartfren Gratis Mi-Fi/modem 4G Tahun baru saatnya ganti gadget baru Bawa pulang Mi-Fi 4Gm-mu dg tunjukan sms ini ke Galeri SF & isi pulsa 100rb disana s/d 13Jan Info:888,1
499,phishing,Wow! Diskon 50% utk pembelian paket Flash 6GB + BONUS 60Menit CUMA Rp60rb utk 30hr di *999*606# SEKARANG! Tunggu apalagi buruan! S&K berlaku,1
500,safe,Blm mad ntr sore td udh ktmu,0
501,phishing,"Kartu 4G-LTE Anda telah aktif Dapatkan kuota tambahan sd 10GB&konten menarik dijaringan 4G, hub *123*46#. Info lokasi www.indosatooredoo.com/4G",1
502,phishing,Pembayaran bil bulan ini gagal diproses. Tekan pautan ini untuk elakkan pemotongan perkhidmatan: <fake-link>,1
503,safe,4 orang duduk dalam ni,0
504,phishing,TAHNIAH! A/C ASTRO anda Layak menerima tawaran istimewa utk LUPUS TUNGGAKAN RM428.1 dengan hanya BAYAR RM20 SAHAJA. BAYAR HARI INI.Hubungi 0362501666.T&C Apply,1
505,safe,tak berkat,0
506,safe,kannn,0
507,safe,Please check your SPayLater bill of RM727.35 due on 01-12-2025 on your Shopee app to keep your payment up to date! You may reach out to us via Shopee App Online Chat if you have concerns about your bill.,0
508,safe,Oh pantesan tau gitu lgsg foto dipusatnya aja put,0
509,phishing,Salam.. nama saya <name> dan saya dari Malaysia tapi saya tinggal di london tempat saya bekerja saya mendapatkan nombor anda ketika saya sedang mencari nombor teman sekolah saya sebelum saya salah ketik nombor tolong jangan marah pada saya ye...,1
510,phishing,"PAKET BRONET 24JAM 2GB 60hr Rp28800 akan segera aktif. Temukan penawaran menarik AXIS lainnya, telp *123#.Info838",1
511,safe,Aku ga ke upi sepertinya,0
512,safe,"Terimakasih, saat ini Anda masih terdaftar sebagai pelanggan TCash.",0
513,phishing,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",1
514,phishing,SELAMAT Anda sebagai pemenang promo UNDIAN POP-MIE GETLUCKY men-dptkan 1unit MOBIL NISSAN JUKE pin anda:b89c7h9 U/INFO Klik:www.hadiah-pop-mie-2013.webs.com,1
515,phishing,"XXXMobileMovieClub: Untuk menggunakan kredit anda, klik pautan WAP dalam mesej teks seterusnya atau klik di sini>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1
516,safe,kau dah habis intern kee,0
517,safe,Gaaais penamaannya kyk nama1 nih biar rapih,0
518,phishing,Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,1
519,safe,"beu atuh sekarang, sambil nunggu yg pulang ppl",0
520,phishing,"PROMO BLACKBERRY BB DAKOTA 2,9jt BB Torch 2jt BB Davis 1,5jt BB Onyx 1,4jt BB Gemini 950rb Berminat hub : 085715186696 Promo terbatas*",1
521,phishing,ANDA dianugerahkan Percutian Bandar dan boleh MEMENANGI Belanja Musim Panas bernilai RM200 setiap MINGGU. Hantar SMS KEDAI ke 88039. SkilGme. TsCs 087147403233,1
522,safe,Taqoballahu Minna waminkum. #SelamatMenyambutKemenangan,0
523,safe,"Info Gempa Mag:5.3 SR, 21-Jun-16 21:10:23 WIB, Lok:2.21 LS,99.33 BT (98 km Tenggara KEP-MENTAWAI-SUMBAR), Kedlmn:34 Km ::BMKG",0
524,safe,"koreksi saya kalau salah (bisi lupa) tapi bagus sih kalau anda mau coba-coba, nggak mubazir juga kok. Kalau mau dibalikin lagi ke CSV ya pake transformasi lagi.",0
525,safe,kau terus buat coding eh weh,0
526,safe,kecuali yang kat dalam table,0
527,safe,"Duh gusti disini ujan gede, semoga di riung gak bocor yah gais",0
528,safe,Boleh minta alamat nya kalo dari gang softball kmna gtu,0
529,safe,okeii takpee kita tunggu jer,0
530,phishing,AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,1
531,phishing,PROMOSI E-REWARDS!!!: Anda mempunyai ganjaran yang belum ditebus. Tuntut sebelum tamat: <fake-link>,1
532,safe,"Gatau nuy, suruh tunggu aja cenah belom diinvite2 sama apapa aku mah",0
533,phishing,"Assalamualaikum tuan/puan, saya agen Takaful. Tn/pn terpilih untuk perlindungan kesihatan premium tanpa medical checkup. Mohon sahkan maklumat di sini: <link>",1
534,safe,hm tula setiap kali keluar memang akan nyamnyam and gossip jela eh,0
535,safe,"Aku merasa geleh sendiiri ini lipstik aku merah sekali wkkw, mana dapet dikasih ini jg",0
536,phishing,"Kesempatan LANGKA! Cuma buat kamu saja loh, Dapatkan 1 GB Cuma dengan RP 5000. Balas SMS ini dengan ketik Y10 s.d 15 November. Bonus berlaku 3 hari/ TL050D",1
537,phishing,PT.TRI CARE PIN Pemenang ( •••••• ) anda m-dptkan HADIAH I unit TOYOTA YARIS U/Info cek pin klik: www.tricare2015.blogspot.com,1
538,safe,"nama1 dmna ? boleh mnta tolong ss dong bisns proses nya,,,,,",0
539,phishing,"Salam, cik.. saya nak mintak tolong cik transfer RM250 ke acc saya boleh?Saya kena tahan polis tapi acc bank kena lock nnt ptg saya transfer ke cik balik..",1
540,phishing,RM0 RHB: Akaun anda dibekukan sementara atas aktiviti mencurigakan. Sila aktifkan semula: <link>.,1
541,safe,emang berbayar nama1 .,0
542,safe,Paspor di perpanjang bayar nya brp nuy?,0
543,safe,tapi kuliahnya sekarang. SP sebenarnya tidak boleh untuk kuliah yg ada praktikum.,0
544,phishing,"Mainkan terus games mu sekarang, dan beli koinnya pakai pulsamu, cek caranya di http://tsel.me/jajanonline",1
545,phishing,PESAN RESMI PT.3Care Indonesia Berkat isi Ulang No. Anda Resmi meraih hadiah ke-1 Dengan kode PIN Anda {8JF2177} U/Info Hadiahlik: www.berkat-isiulang3care.blogspot.com,1
546,phishing,"RM0 :PERHATIAN TUAN/PUAN KAMI AKAN MENGHANTAR PEGAWAI LAWATAN KE ALAMAT BERDAFTAR TN/PN,BERTUJUAN UNTUK PENANGKAPAN GAMBAR SERTA PENAMPALAN NOTIS PENYITAAN & LELONGAN HARTA BENDA/WRIT SEIZURE AND SALE (WSS) (DIBAWAH AKTA PENGHUTAN 1957) ATAS PREMIS TN/PN DALAM MASA TERDEKAT INI.UNTUK PERTANYAAN SILA RUJUK PEGAWAI PN.SURAYA/EN.KAMARUL ************.TERIMA KASIH.",1
547,phishing,"""ANDA TELAH MENANG! Sebagai pelanggan UMobile yang dihargai, komputer kami telah memilih ANDA untuk memenangi hadiah RM150. Untuk mendapatkannya mudah sahaja. Hanya hubungi 09061743386""",1
548,safe,Iya aku inget jam dinding di rumah awet katanya hadiah pernikahan ❤,0
549,phishing,"Maaf…! saya bu RATNA meganai RUMAH saya Sudah liat, soalnya saya lagi di bandara silahkan hubungi suami saya H. ARIF ISKANDAR,SE hp:081218844557 trims.",1
550,phishing,EN/PN <NAME> TEMPOH RUNDINGAN TELAH TAMAT.KES PEMBEKUAN AKAUN BANK/TINDAKAN SITA LELONG AKAN BERMULA!HUBUNGI IRFAN SALLEH 0376261765,1
551,phishing,"Pembelian anda di Shopee RM799 telah berjaya. Jika ini bukan anda, laporkan segera bagi mengelakkan caj tambahan: https://shopee-protect.asia/report",1
552,safe,nak settlekan maybe sampai half LR by this week,0
553,phishing,NOTIS: Cukai 2023 anda telah tertunggak dan anda telah melanggar Kanun Jenayah Malaysia. Sila lengkapkan pembayaran dalam masa 24 jam: https://mybayar3.icu/my,1
554,phishing,"Hai, saya pengurus pengambilan pekerja dalam talian. Hanya merekrut 80 pekerja sambilan. Bekerja dari rumah, anda kini dijemput untuk menyertai kami. Anda boleh mendapatkan gaji harian dengan mudah menggunakan telefon bimbit anda dengan gaji harian RM150. Sertai kumpulan Whatsapp kami: <link> Kuota adalah terhad",1
555,phishing,"ISI PULSA lebih untung di MYVPLUS! selain dpt PULSA kamu bisa lsg dpt voucher diskon, dpt hadiah dan juga dpt point. Yuk klik : http://bit.ly/Myvplus",1
556,safe,"Itu teh sebenernya krna terlalu sakit sma orang itu nuy, padahal kalo udah nemu orang baru mah pasti rasanya beda",0
557,safe,"Guys, aku ganti template nya.",0
558,phishing,Anda mempunyai bayaran automatik RM188 yang akan dipotong hari ini. Batal langganan di sini: <fake-link>,1
559,safe,Sepupu ane baru masuk kuliah,0
560,safe,haritu kau tunjuk kau punya multimedia poster kau kata kau ai generate je kan,0
561,phishing,"Salam, saya dari Shopee Seller Center. Anda terpilih untuk program affiliate. Sila isi borang pendaftaran sebelum slot habis: <link>",1
562,phishing,RM0 Hong Leong: Akaun anda akan ditutup kerana maklumat tidak lengkap. Sila pengesahan identiti: <link>.,1
563,safe,"Jadinya mau apa sok, sebagian dari uang kas? Kira2 berapa?",0
564,phishing,"Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345",1
565,phishing,"Hello, saya admin TikTokshop. Ada transaksi luar biasa dari akaun awak. Tolong verify sebelum disekat: <link>",1
566,safe,"nama1 gedung manunggal tridaya pucakti pusenkav teh 1,5 ternyata wkwk",0
567,safe,Biasanya mah stasiun teh sebelum lewatin rel nama1,0
568,phishing,plg yth no. Anda terpilih menang cek Rp.100jt dr PT.TELKOMSEL HUT TELKOMSEL Ke-17 thn 2012 hub call center:085313311113,1
569,safe,macam haritu 🤭,0
570,safe,Mungkin aa nya tau kl wajah nama1 bakal beda sendiri pas gaya ini (up),0
571,safe,Senin mah pelepasan doang kan? Aku brngktnya selasa apa egi senin berangktnya?,0
572,phishing,Akaun anda akan dipindahkan ke server baharu. Sahkan kelayakan untuk mengekalkan data: <fake-link>,1
573,phishing,Pejabat Kesihatan. Anda kontak rapat kepada kes aktif. Sila isi borang pengesahan segera: <link>,1
574,phishing,"INFO. pinjaman tanpa agunan 10 - 150 jt, Standart Chartered Bank syarat copy KTP, copy kartu kredit, RESMI, MINAT hub : akbar > 021 98391114 / 085714664427 , trimksh.",1
575,phishing,"sy RUDY dri MALAYSIA Brencana investasikan uang sy Sbagai bekal hidup di indo,sy butuh org yg bisa sy percayakan uang sy RM 5jt,bila Bsedia,sms di 085256144059",1
576,phishing,Thank you for your appreciation & trust in using Telkomsel service. For further feedback please advice & text sms to 1166 (FREE)(for int'l charged),1
577,safe,madam ni tak betul laaa,0
578,safe,"wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun.",0
579,phishing,"Kod OTP anda telah dihantar kepada pihak ketiga. Jika ini bukan tindakan anda, hentikan segera di <fake-link>.",1
580,safe,meletup kebabom,0
581,phishing,"Lelah byr min payment? Kami Solusinya, bantu secara LEGAL penutupan CC/KTA, dscn 50-75%. Hub.LoLyta 081316523061/087822962308 (WA). LEGAL",1
582,phishing,"Slmt simCARD anda 08562XXXXXX mdpat cek tunai Rp.49jt PIN (RWD2749) info CS,085691371116 atau kunjungi www.indosat-id.jimdo.com",1
583,safe,boleh jee mana mana,0
584,safe,tapi dah siap dah pun hahahah,0
585,safe,ini kiranya luar tu terus corridor??,0
586,phishing,"Pinjaman untuk sebarang tujuan RM500 - RM75,000. Pemilik rumah + Penyewa dialu-alukan. Adakah permohonan anda pernah ditolak sebelum ini? Kami masih boleh membantu. Hubungi Percuma 0800 1956668",1
587,safe,memang aku letak questions tu dulu jee,0
588,safe,Sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi. Kalau obat kan ga ada yang ngolah.,0
589,phishing,Nikmati Double Internetan di jaringan Data terkuat 3GB dan 3GB (4G) dan Tlp&SMS SEPUASNYA dgn pkt Freedom Combo. Daftar *123# atau http://mycare.indosatooredoo.com,1
590,safe,rasanya madam nak tengok progress content report jee,0
591,safe,nama1 nmr kamu yg ini kan? ntr ayu sms kl udah dpn kosan yah,0
592,safe,wisudaan kan hari jumat,0
593,phishing,"Selamat!anda mdptkan satu unit MOBIL NISSAN JUKE dr PT.INDOFOOD pin_anda 27tdn55 u/info pengambilan Hadiah, kunjungi website www.popmieget-lucky.blogspot.com",1
594,safe,"Pak, MK yang nama1 kontrak Data Mining dgn kode IK566 bukan dwm, seperti yg bapak sampaikan dulu agar mengingatkan bapak ketika penginputan nilai, terimakasih.",0
595,phishing,Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,1
596,phishing,Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,1
597,phishing,"Nikmati kemudahan pembayaran iuran BPJS dgn TCASH. Cukup hubungi *800#, pilih menu pembayaran ATAU gunakan app T-Wallet di smartphone Android dan iPhone.",1
598,safe,baik kau kasi semut makan jela,0
599,phishing,HOT PROMO! Dptkan EXTRA PULSA TSEL 50rb dg beli paket internet pertama kali di My Telkomsel App sjk 25 Agsts - 25 Sept. Cek detail paketnya di tsel.me/mytsel1,1
600,phishing,"Tumpang tanya cik, saya dapat message TAC masuk nombor ini tp itu sepatutnya untuk acc saya. Boleh send balik code tu? Urgent sgt2.. 🙏",1
601,phishing,PESTA M-TRONIK!! Anda sebagai pelanggan Setia M-Tronik terpilih Pemenang HADIAH ke(3) PIN pemenang:2AIU87E U/info klik www.info-undianmtronik.jimdo.com,1
602,phishing,Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,1
603,safe,Derr ya jangan wacana kaka bunda,0
604,phishing,Anda brminat cash&kredit mtor scond brg istmwa tipe&merk apa sj.dsini mnyediakn 50 unit dr thn 2004 keatas hub 087739124242/085743146233 MS DEDIKTP luar yk bs.,1
605,safe,maceh,0
606,phishing,"Nikmati Diskon Tarif Indosat 01016 & 001 hingga 70% ke 7 Negara (CHN, MLA,HKG,SNG,TWN,VTM,MACAU). Berlaku 07-28Feb13. Info : hub 100/111 atau *123# OK",1
607,phishing,"Plgn yth,TRI dan MNCTV sudah mengumumkan nomor Anda pd tgl 5 Agustus 2015 Tapi tdk dpt trsmbung jadi saya DESY HERMAWATI dr PT.HUTCHISON TRI di PLAZA SEMANGGI lt 1 jl.jend Sudirman kav 50 jkt pst kirim SMS sblum jtuh tempo bhwa NO simcard anda menang undian PESTA POIN TRI hadiah ke2 TOYOTA ALL NEW YARIS pin Anda .2d7id99 klik situs resmi di,www.my-tri2015.jimdo.com",1
608,safe,yang mana eh?,0
609,phishing,"Ini kali ke-2 kami cuba hubungi kami. Anda telah memenangi hadiah 750 Pound. Tuntutan mudah sahaja, hubungi 08712101359 SEKARANG! Hanya 10p setiap minit. Kadar BT-nasional",1
610,phishing,DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712,1
611,safe,"Soalnya aku pernah ujug2 dtng, terus bapak nya bilang kalau mau bimbingan bls wa ya, biar saya bisa estimasi waktu, gitu",0
612,safe,yang bawah bawah tu tak try lagi,0
613,phishing,Ini rekeningnya mandiri : 900-00-1037951-0 a.n reza prasetya,1
